drug_name,mechanism_of_action,experimental_activity,experimental_pharmacology_system,method,parameter,PX,mean,unit,smiles
Oseltamivir carboxylate,Neuraminidase (Sialidase) (Influenza Virus) Inhibitors,"Neuraminidase (nonspecified subtype) (Influenza A virus) inhibition, IN VITRO",IN VITRO,Fluorescent assay,IC-50,12.69897,2E-13,M,CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O |c:7|
Presatovir,Respiratory Syncytial Virus (RSV) Fusion Inhibitors;Viral Fusion Inhibitors,"Infection, respiratory syncytial virus (RSV) remission/reduction, IN VITRO",IN VITRO,Cytopathicity assay,IC-50,11.74472749,1.8E-12,M,Cc1cn2nc(cc2nc1N1CC[C@H](N)C1)[C@@H]1CCCCN1C(=O)c1cc(Cl)ccc1NS(C)(=O)=O
Brincidofovir,DNA Polymerase Inhibitors,"Infection, cytomegalovirus remission/reduction, IN VITRO",IN VITRO,DNA assay,IC-50,11.69897,2E-12,M,"CCCCCCCCCCCCCCCCOCCCOP(O)(=O)CO[C@H](CO)CN1C=CC(N)=NC1=O |c:31,34|"
Sorivudine,DNA Polymerase Inhibitors,"Infection, varicella zoster virus remission/reduction, IN VITRO",IN VITRO,Plaque assay,IC-50,10.61978876,2.4E-11,M,OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=C(\\C=C\\Br)C(=O)NC1=O |t:11|
Peramivir,Neuraminidase (Sialidase) (Influenza Virus) Inhibitors,"Neuraminidase (nonspecified subtype) (Influenza A virus) inhibition, IN VITRO",IN VITRO,4-Methylumbelliferyl-N-acetyl-alpha-D-neuraminic acid as substrate,Ki,10.85387196,1.4E-11,M,[H][C@@]1([C@@H](NC(C)=O)C(CC)CC)[C@H](O)[C@H](C[C@H]1NC(N)=N)C(O)=O
Zanamivir,Neuraminidase (Sialidase) (Influenza Virus) Inhibitors,"Neuraminidase (nonspecified subtype) (Influenza A virus) inhibition, IN VITRO",IN VITRO,Chemiluminescent assay,IC-50,10.52287875,3E-11,M,[H][C@]1(OC(=C[C@H](NC(N)=N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO |c:3|
Sirolimus,CCR5 Expression Inhibitors;Cytochrome P450 CYP2D6 Inhibitors;Signal Transduction Modulators;Cytochrome P450 CYP2C9 Inhibitors;P-Glycoprotein (MDR-1; ABCB1) Inhibitors;Proteasome Inhibitors;Mammalian Target of Rapamycin (mTOR; FRAP1) Inhibitors;Drugs Targeting B-Lymphocyte Antigen CD19,"Infection, cytomegalovirus remission/reduction, IN VITRO",IN VITRO,Chemiluminescent assay,IC-50,10.39794001,4E-11,M,"CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\\C=C(C)\\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\\C=C\\C=C\\C=C(C)\\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O |c:14,33,t:29,31|"
Peramivir,Neuraminidase (Sialidase) (Influenza Virus) Inhibitors,"Neuraminidase (nonspecified subtype) (Influenza A virus) inhibition, IN VITRO",IN VITRO,4-Methylumbelliferyl-N-acetyl-alpha-D-neuraminic acid as substrate,IC-50,10.30103,5E-11,M,[H][C@@]1([C@@H](NC(C)=O)C(CC)CC)[C@H](O)[C@H](C[C@H]1NC(N)=N)C(O)=O
Laninamivir,Neuraminidase (Sialidase) (Influenza Virus) Inhibitors,"Neuraminidase (nonspecified subtype) (Influenza A virus) inhibition, IN VITRO",IN VITRO,Fluorescent assay,IC-50,9.958607315,1.1E-10,M,[H][C@]1(OC(=C[C@H](NC(N)=N)[C@H]1NC(C)=O)C(O)=O)[C@H](OC)[C@H](O)CO |c:3|
Ribavirin,Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors;Equilibrative Nucleoside Transporter ENT1 Inhibitors,"Infection, respiratory syncytial virus (RSV) remission/reduction, IN VITRO",IN VITRO,ELISA assay,IC-50,9.899629455,1.26E-10,M,NC(=O)c1ncn(n1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
drug_name,mechanism_of_action,experimental_activity,experimental_pharmacology_system,method,parameter,PX,mean,unit,smiles
Deferiprone,Chelating Agents;Cytochrome P450 CYP4F2 Inhibitors,"Infection, BK polyomavirus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,8.455931956,3.5E-09,M,"CN1C=CC(=O)C(O)=C1C |c:2,7|"
Raltegravir potassium,HIV Integrase Inhibitors,"Infection, xenotropic murine leukemia virus-related virus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,8.301029996,0.000000005,M,"[K+].CN1C(=O)C([O-])=C(N=C1C(C)(C)NC(=O)c1nnc(C)o1)C(=O)NCc1ccc(F)cc1 |c:5,7|"
Verdinexor,"Exportin-1 (CRM1, XPO1) Receptor Antagonists;Signal Transduction Modulators","Infection, JC polyomavirus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,8.124938737,7.5E-09,M,
Rupintrivir,HRV 3C Protease Inhibitors,"Infection, rhinovirus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,7.698970004,0.00000002,M,CCOC(=O)\\C=C\\[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1
Brincidofovir,DNA Polymerase Inhibitors,"Infection, JC polyomavirus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,7.698970004,0.00000002,M,"CCCCCCCCCCCCCCCCOCCCOP(O)(=O)CO[C@H](CO)CN1C=CC(N)=NC1=O |c:31,34|"
Remdesivir,Nucleobindin-1 (NUCB1) Inhibitors,"Middle East respiratory syndrome coronavirus (MERS-CoV) remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,7.602059991,0.000000025,M,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)c1ccc2c(N)ncnn12)Oc1ccccc1
Verdinexor,"Exportin-1 (CRM1, XPO1) Receptor Antagonists;Signal Transduction Modulators","Infection, adenovirus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,7.522878745,0.00000003,M,
Torin-1,Phosphatidylinositol 3-Kinase alpha (PI3Kalpha) Inhibitors;Signal Transduction Modulators;Mammalian Target of Rapamycin (mTOR; FRAP1) Inhibitors,"Infection, cytomegalovirus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,7.22184875,0.00000006,M,CCC(=O)N1CCN(CC1)c1ccc(cc1C(F)(F)F)N1C(=O)C=Cc2cnc3ccc(cc3c12)-c1cnc2ccccc2c1 |c:25|
Cidofovir,DNA Polymerase Inhibitors,"Infection, cytomegalovirus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-99,7.22184875,0.00000006,M,"NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1 |c:16,t:1|"
Alvocidib hydrochloride,Cyclin-Dependent Kinase 1 (CDK1) Inhibitors;Signal Transduction Modulators;Cyclin-Dependent Kinase 6 (CDK6) Inhibitors;CDK9/Cyclin T1 Inhibitors;Baculoviral IAP Repeat-Containing Protein 5 (BIRC5; Survivin) Inhibitors;Apoptosis Inducers;Cyclin-Dependent Kinase 7 (CDK7) Inhibitors;Cyclin-Dependent Kinase 2 (CDK2) Inhibitors;Induced Myeloid Leukemia Cell Differentiation Protein Mcl-1 Inhibitors;Cyclin-Dependent Kinase 4 (CDK4) Inhibitors;X-Chromosome-Linked Inhibitor of Apoptosis Protein (XIAP) Inhibitors;Apoptosis Regulator Bcl-2 Inhibitors,"Infection, herpes virus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,7.000217202,9.995E-08,M,Cl[H].CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2C(=O)C=C(Oc12)c1ccccc1Cl |c:19|
Ganciclovir,DNA Polymerase Inhibitors,"Infection, herpes simplex virus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,7,0.0000001,M,NC1=Nc2c(ncn2COC(CO)CO)C(=O)N1 |t:1|
drug_name,mechanism_of_action,experimental_activity,experimental_pharmacology_system,method,parameter,PX,mean,unit,smiles
Remdesivir,RNA-Directed RNA Polymerase Inhibitor,"Ebola virus disease remission/reduction, IN VITRO",IN VITRO,,IC-50,8,0.00000001,M,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)c1ccc2c(N)ncnn12)Oc1ccccc1
Inarigivir soproxil,Nucleotide-Binding Oligomerization Domain-Containing Protein 2 (NOD2) Activators;Probable ATP-dependent RNA helicase DDX58 (RIG-I) Activators,"Infection, respiratory syncytial virus (RSV) remission/reduction, IN VITRO",IN VITRO,Plaque assay,IC-80,6.602059991,0.00000025,M,
Lumicitabine,RNA-Directed RNA Polymerase (Respiratory Syncytial Virus) Inhibitors,"Infection, respiratory syncytial virus (RSV) remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,6.585026652,0.00000026,M,"CC(C)C(=O)OC[C@@]1(CCl)O[C@H]([C@H](F)[C@@H]1OC(=O)C(C)C)N1C=CC(N)=NC1=O |c:23,26|"
Sofosbuvir,RNA-Directed RNA Polymerase (NS5B) (HCV) Inhibitors,"Infection, dengue virus remission/reduction, IN VITRO",IN VITRO,Plaque assay,IC-90,6.397940009,0.0000004,M,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1 |c:17|
Adafosbuvir,RNA-Directed RNA Polymerase (NS5B) (HCV) Inhibitors,"Infection, dengue virus remission/reduction, IN VITRO",IN VITRO,Plaque assay,IC-50,5.958607315,0.0000011,M,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@@]1(F)O[C@@H](N2C=CC(=O)NC2=O)[C@](C)(O)[C@@H]1O)Oc1ccccc1 |c:18|
Balapiravir hydrochloride,RNA-Directed RNA Polymerase (NS5B) (HCV) Inhibitors,"Infection, dengue virus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,5.721246399,0.0000019,M,"Cl.CC(C)C(=O)OC[C@]1(O[C@H]([C@H](OC(=O)C(C)C)[C@@H]1OC(=O)C(C)C)N1C=CC(N)=NC1=O)N=[N+]=[N-] |r,c:26,29|"
Galidesivir,RNA Polymerase Inhibitors,"Infection, Zika virus remission/reduction, IN VITRO",IN VITRO,Fluorescent assay,IC-50,5.528708289,0.00000296,M,Nc1ncnc2c(c[nH]c12)[C@@H]1N[C@H](CO)[C@@H](O)[C@H]1O
Beclabuvir,RNA-Directed RNA Polymerase (NS5B) (HCV) Inhibitors,"Infection, herpes simplex virus remission/reduction, IN VITRO",IN VITRO,Viral replication assay (multiple cycle),IC-50,5.397940009,0.000004,M,COc1ccc2-c3c(C4CCCCC4)c4ccc(cc4n3C[C@]3(C[C@H]3c2c1)C(=O)N1C2CCC1CN(C)C2)C(=O)NS(=O)(=O)N(C)C |TLB:27:29:31.32:34.35.37|
Favipiravir,RNA-Directed RNA Polymerase (Influenza A Virus H1N1) Inhibitors;RNA-Directed RNA Polymerase (NS5B) (HCV) Inhibitors,"Infection, rabies virus remission/reduction, IN VITRO",IN VITRO,Fluorescent assay,MIC,5.397940009,0.000004,M,NC(=O)c1nc(F)cnc1O
Diasarone I,RNA-Directed RNA Polymerase (NS5) (Dengue Virus) Inhibitors,"Infection, dengue virus remission/reduction, IN VITRO",IN VITRO,Plaque assay,IC-50,5.369572125,0.00000427,M,CCC(\\C(C)=C\\c1cc(OC)c(OC)cc1OC)c1cc(OC)c(OC)cc1OC
,,,,,,,,,