Drug Name,MOA,Experiments,Method,Measurement,Value,Unit
,Neuraminidase (Sialidase) (Influenza A Virus) Inhibitors,"Neuraminidase (nonspecified subtype) (Influenza A virus) inhibition, IN VITRO",,IC-50,2.10E-14,M
Methotrexate,Dihydrofolate Reductase (DHFR) (Protozoal) Inhibitors;Folate Antagonists;Dihydrofolate Reductase (DHFR) Inhibitors,"Dihydrofolate Reductase (DHFR) inhibition, IN VITRO",Dihydrofolic acid as substrate,Ki,3.40E-12,M
CGS-21680,Signal Transduction Modulators;Adenosine A2A Receptor Agonists,"Hypertension remission/reduction, IN VITRO",,EC-50,1.00E-10,M
Danshensu Yibingzhi,Antioxidants,"Arteriosclerosis, coronary remission/reduction, IN VITRO",,MEC,1.00E-10,M
REGN-1001,Anti-ANGPTL4 (Angiopoietin-Related Protein 4),"Angiopoietin-Related Protein 4 affinity, IN VITRO",,Kd,1.00E-10,M
"1,25-Dihydroxyvitamin-D3",Signal Transduction Modulators;Vitamin D Receptor (VDR) Agonists,"Cytotoxicity induction, IN VITRO",Thymidine incorporation assay,IC-50,1.10E-10,M
Substance P,Tachykinin NK1 Receptor Ligands;Signal Transduction Modulators,Not Applicable,,IC-50,1.41E-10,M
Binodenoson,Signal Transduction Modulators;Adenosine A2A Receptor Agonists,"Hypertension remission/reduction, IN VITRO",,EC-50,2.00E-10,M
Paricalcitol,Signal Transduction Modulators;Vitamin D Receptor (VDR) Agonists;Parathyroid Hormone Secretion Inhibitors,"Cytotoxicity induction, IN VITRO",Thymidine incorporation assay,IC-50,2.00E-10,M
Zotarolimus,Signal Transduction Modulators;Mammalian Target of Rapamycin (mTOR; FRAP1) Inhibitors,"Cytotoxicity remission/reduction, IN VITRO",Thymidine incorporation assay,IC-50,2.40E-10,M
PD-156707,"Signal Transduction Modulators;Endothelin-1 Receptor (EDNRA, ETAR) Antagonists","Endothelin-1 Receptor (ET-A) affinity, IN VITRO",Displacement of [125I]-endothelin-1,IC-50,4.30E-10,M
Adenosine,Adenosine Receptor Agonists;Signal Transduction Modulators,"Hypertension remission/reduction, IN VITRO",,EC-50,5.00E-10,M
Nisoldipine,Calcium Channel Blockers,"K(ATP) Channel (nonspecified subtype) blockade, IN VITRO",,IC-50,5.00E-10,M
Mecasermin,Insulin Receptor Ligands;Signal Transduction Modulators,"Insulin Receptor affinity, IN VITRO",Displacement of [125I]-insulin-like growth factor-I,IC-50,6.90E-10,M
Barnidipine hydrochloride,Calcium Channel Blockers,"L-Type Calcium Channel (nonspecified subtype) affinity, IN VITRO",Displacement of [3H]-nitrendipine,IC-50,8.00E-10,M
Chloroquine,,"Coronavirus acute respiratory syndrome remission/reduction, IN VITRO",,IC-50,8.00E-10,M
Sodium nitroprusside,Nitric Oxide (NO) Donors;Guanylate Cyclase Activators,Not Applicable,,IC-50,8.05E-10,M
AZD-2716,Secretory Phospholipase A2 (sPLA2) Inhibitors;Signal Transduction Modulators,"Phospholipase A2, Group IA (secretory) inhibition, EX VIVO",,IC-50,1.00E-09,M
Doconexent,Signal Transduction Modulators;Pyroptosis Inducers;Free Fatty Acid Receptor 4 (FFAR4; GPR120) Agonists;PPARalpha Agonists,"Large Conductance BK(Ca) Potassium Channel (Maxi K+ Channel) (nonspecified subtype) activation, IN VITRO",Whole-cell patch-clamp assay (-40 mV),MEC,1.00E-09,M
N-acetylneuraminic acid ammonium,,"Cardiotoxicity protection, IN VITRO",Dye assay (WST-8),MIC,1.00E-09,M
Nafamostat mesilate,Tryptase Inhibitors,"Middle East respiratory syndrome coronavirus (MERS-CoV) remission/reduction, IN VITRO",Vero cells (TMPRSS2-expressing) transfected with MERS,IC-50,1.00E-09,M
CVS-1123,Thrombin Inhibitors;Inhibitors of Blood Coagulation Pathways,"Prothrombin (Thrombin) inhibition, IN VITRO",,IC-50,1.13E-09,M
Silvestrol,Eukaryotic Initiation Factor 4A (eIF4A) Inhibitors;Apoptosis Inducers,"Middle East respiratory syndrome coronavirus (MERS-CoV) remission/reduction, IN VITRO",Plaque assay,IC-50,1.30E-09,M
Ciclosporin,Cyclophilin D Inhibitors;Signal Transduction Modulators;Serine/Threonine-Protein Phosphatase 2B (PPP3CC; PP2Bgamma; Calcineurin) Inhibitors;INS Expression Inhibitors,"Nuclear Factor of Activated T-cells (NFAT, nonspecified subtype) inhibition, IN VITRO",Luciferine/luciferase assay,IC-50,1.60E-09,M
Efonidipine hydrochloride ethanol,Calcium Channel Blockers,"K(ATP) Channel (nonspecified subtype) blockade, IN VITRO",,IC-50,1.60E-09,M
LY-215840,5-HT2A Receptor Antagonists;Signal Transduction Modulators;5-HT7 Receptor Antagonists,"5-Hydroxytryptamine Receptor 2B (5-HT2B) affinity, IN VITRO",Displacement of [3H]-serotonin,Ki,1.89E-09,M
AZD-5718,Signal Transduction Modulators;5-Lipoxygenase-Activating Protein (FLAP) Inhibitors;Leukotriene Synthesis Inhibitors,"Arachidonate 5-Lipoxygenase-activating Protein (FLAP) inhibition, IN VITRO",ELISA assay,IC-50,2.00E-09,M
Efavirenz,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Infection, HIV remission/reduction, IN VITRO",Dye assay (MTT),IC-50,2.00E-09,M
RA-2,"Intermediate Conductance K(Ca) 3.1 (IKCa1; Gardos Channel, SK41, IK1) Channel Blockers;Small Conductance SK (Ca) 2.3 (SK3; SKCa3; hKCa3) Channel Blockers","Small Conductance Calcium-Activated Potassium Channel Protein 3 (SK3) blockade, IN VITRO",Whole-cell patch-clamp assay,IC-50,2.00E-09,M
Tricostatin A,CDKN1A Expression Enhancers;Apoptosis Inducers;Angiogenesis Inhibitors;ID1 Expression Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Epigenetic Modifier Modulators,"Histone Deacetylase (HDAC) (nonspecified subtype) inhibition, IN VITRO",Cell-free assay,IC-50,2.00E-09,M
SG-85,3C-Like Protease (NL63 Coronavirus) (HCoV-NL63) Inhibitors;3C Protease (Enterovirus 71) Inhibitors;3C-Like Protease (EMC Coronavirus) (HCoV-EMC) Inhibitors,"Infection, enterovirus remission/reduction, IN VITRO",Cytopathicity assay,IC-50,2.20E-09,M
Elgodipine hydrochloride,Calcium Channel Blockers,"K(ATP) Channel (nonspecified subtype) blockade, IN VITRO",,IC-50,2.30E-09,M
Androstanolone,Androgen Receptor Agonists;Signal Transduction Modulators,"Vascular Cell Adhesion Protein 1 (VCAM-1) inhibition, IN VITRO",ELISA assay,MIC,2.50E-09,M
NECA,Signal Transduction Modulators;Adenosine Receptor Agonists,"Prostaglandin F2-alpha Receptor (PGF2-alpha Receptor) antagonism, IN VITRO",,IC-50,3.18E-09,M
Nifedipine,"P-Glycoprotein (MDR-1; ABCB1) Inhibitors;Nuclear Factor of Activated T-Cells, Cytoplasmic 2 (NFAT1, NFATC2) Inhibitors;Antioxidants;Calcium Channel Blockers","Muscarinic Acetylcholine Receptor M3 antagonism, IN VITRO",,IC-50,3.20E-09,M
Fluvoxamine maleate,Signal Transduction Modulators;5-HT Reuptake Inhibitors,"Serotonin Transporter (SERT; 5-HTT) inhibition, IN VITRO",,IC-50,3.80E-09,M
E-4021,Signal Transduction Modulators;Phosphodiesterase PDE5A Inhibitors,"cGMP-Specific 3',5'-cyclic Phosphodiesterase (PDE5) inhibition, IN VITRO",,IC-50,3.90E-09,M
PF-835231,3C-Like Protease (SARS-CoV) Inhibitors,"3C-Like Protease (viral) inhibition, IN VITRO",Fluorescent assay,IC-50,4.00E-09,M
Sildenafil hydrochloride,Signal Transduction Modulators;Phosphodiesterase PDE5A Inhibitors,"cGMP-Specific 3',5'-cyclic Phosphodiesterase (PDE5) inhibition, IN VITRO",Chemiluminescent assay,IC-50,4.00E-09,M
Cerivastatin sodium,3-Hydroxy-3-Methylglutaryl-Coenzyme A Reductase (HMGCR) Inhibitors,"Cytotoxicity remission/reduction, IN VITRO",,IC-50,5.00E-09,M
Daunorubicin,DNA Topoisomerase II Inhibitors;DNA Topoisomerase I Inhibitors,"Leukemia, acute lymphocytic remission/reduction, IN VITRO",Dye assay (alamar blue),IC-50,5.00E-09,M
Dolutegravir sodium,HIV Integrase Inhibitors;Solute Carrier Family 22 Member 2 (SLC22A2; OCT2) Inhibitors,"HIV Integrase inhibition, IN VITRO",Strand transfer assay,IC-50,5.00E-09,M
Doxorubicin hydrochloride,DNA-Intercalating Drugs;DNA Topoisomerase II alpha Inhibitors,"Cancer, colon (adenocarcinoma) remission/reduction, IN VITRO",Dye assay (sulforhodamine B),CC-50,5.00E-09,M
Ribavirin,Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors;Equilibrative Nucleoside Transporter ENT1 Inhibitors,"Avian influenza remission/reduction, IN VITRO",Cytopathicity assay,IC-50,6.13E-09,M
Regadenoson,Signal Transduction Modulators;Adenosine A2A Receptor Agonists,"Hypertension remission/reduction, IN VITRO",,EC-50,6.40E-09,M
VUF-8929,Calcium Channel Blockers,"L-Type Calcium Channel (nonspecified subtype) affinity, IN VITRO",,pKd,6.43E-09, 
Sch-58261,Signal Transduction Modulators;Adenosine A2A Receptor Antagonists,"Adenosine Receptor (nonspecified subtype) antagonism, IN VITRO",,IC-50,6.80E-09,M
Urocortin 2,CRF2 Receptor Agonists;Signal Transduction Modulators,"alpha-1 Adrenergic Receptors (nonspecified subtype) antagonism, IN VITRO",,IC-50,7.50E-09,M
Indometacin,Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitors;Signal Transduction Modulators;Cyclooxygenase-3 Inhibitors;Prostaglandin G/H Synthase 1 (PTGS1; COX-1) Inhibitors;NADPH Oxidase (NOX) Inhibitors,"Cyclooxygenase-1 (COX-1) inhibition, IN VITRO",,IC-50,8.00E-09,M
Raltegravir potassium,HIV Integrase Inhibitors,"Infection, HIV remission/reduction, IN VITRO",Viral replication assay,IC-50,8.00E-09,M
Varespladib,Secretory Phospholipase A2 (sPLA2) Inhibitors;Signal Transduction Modulators,"Phospholipase A2, Group IA (secretory) inhibition, IN VITRO",Fluorescent assay,IC-50,8.00E-09,M
JTV-506,Potassium Channel Activators,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,IC-50,8.10E-09,M
Colchicine,Microtubule Destabilizers (Tubulin Polymerization Inhibitors);Antimitotic Drugs,"Leukemia, acute promyelocytic (M3) remission/reduction, IN VITRO",Dye assay (MTT),CC-50,8.60E-09,M
GW-8510,Signal Transduction Modulators;CDK2/Cyclin A Inhibitors,"CDK2/Cyclin A inhibition, IN VITRO",,IC-50,9.70E-09,M
Amphotericin B,,"Leishmaniasis remission/reduction, IN VITRO",Promastigote assay,IC-50,1.00E-08,M
BanLec,,"Cytotoxicity induction, IN VITRO",,CC-50,1.00E-08,M
Bortezomib,NF-kappaB (NFKB) Activation Inhibitors;Signal Transduction Modulators;Proteasome Inhibitors;Caspase 3 Activators;Apoptosis Inducers,"Leukemia, acute lymphocytic remission/reduction, IN VITRO",Dye assay (alamar blue),IC-50,1.00E-08,M
CCG-1423,,"Cardiotoxicity induction, IN VITRO",Creatine kinase assay,MCC,1.00E-08,M
Diclofenac sodium,Drugs Acting on Acid-Sensing Ion Channels (ASIC);Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitors;Signal Transduction Modulators;Cyclooxygenase-3 Inhibitors;Prostaglandin G/H Synthase 1 (PTGS1; COX-1) Inhibitors,"Cyclooxygenase-1 (COX-1) inhibition, IN VITRO",,IC-50,1.00E-08,M
Nitroglycerin,Cyclophilin D Inhibitors;Signal Transduction Modulators;Atrial Natriuretic Peptide A (NPR1; Guanylate Cyclase A) Receptor Ligands,"Prostanoid TP Receptor (Thromboxane A2 receptor; TXA2-R) (nonspecified subtype) antagonism, IN VITRO",,IC-50,1.00E-08,M
Remdesivir,Nucleobindin-1 (NUCB1) Inhibitors,"Severe acute respiratory syndrome (SARS-CoV) remission/reduction, IN VITRO",Viral replication assay,IC-50,1.00E-08,M
Testosterone,Androgen Receptor Agonists;Signal Transduction Modulators,Not Applicable,Dye assay (MTT),MEC,1.00E-08,M
Eniporide mesilate,Na+/H+ Exchanger type 1 (NHE-1) Inhibitors,"Sodium/Hydrogen Exchanger 1 (NHE-1) inhibition, IN VITRO",Sodium uptake assay,IC-50,1.04E-08,M
ZM-241385,Signal Transduction Modulators;Adenosine A2B Receptor Antagonists;Adenosine A2A Receptor Antagonists,"Adenosine A2A Receptor antagonism, IN VITRO",,IC-50,1.14E-08,M
PJ-34,Signal Transduction Modulators;NAD+ ADP-Ribosyltransferase (poly(ADP-ribose) Polymerase; PARP) Inhibitors,"N Protein affinity, IN VITRO",Surface plasmon resonance assay,Kd,1.17E-08,M
ARN-398,Acid Ceramidase (ACDase; ASAH1) Inhibitors,"Ceramidase (nonspecified) inhibition, IN VITRO",,IC-50,1.20E-08,M
Sinefungin,Coactivator Associated Arginine Methyltransferase 1 (CARM1; PRMT4) Inhibitors;Histone-Lysine N-Methyltransferase SETD7 (SET7/9) Inhibitors;Protein-L-Isoaspartate(D-Aspartate) O-Methyltransferase (PCMT1; PIMT) Inhibitors;Epigenetic Modifier Modulators,"RNA (Guanine-7-) Methyltransferase inhibition, IN VITRO",,IC-50,1.20E-08,M
SR9EK1,,"Severe acute respiratory syndrome (SARS-CoV) remission/reduction, IN VITRO",Viral replication assay,IC-90,1.25E-08,M
HTCC,,"Infection, viral remission/reduction, IN VITRO",RNA assay,IC-50,1.34E-08,M
Lycorine,,"Severe acute respiratory syndrome (SARS-CoV) remission/reduction, IN VITRO",Dye assay,IC-50,1.57E-08,M
Ergotamine,,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,EC-50,1.70E-08,M
IN-1130,Signal Transduction Modulators;Activin Receptor Like Kinase 4 (ALK4; ActR-IB) Inhibitors;TGF-beta Receptor Type-1 (TGFBR1; ALK5; SKR4; TbetaR-I) Inhibitors,"TGF-beta Receptor type-1 (TGFR-1; ALK5) inhibition, IN VITRO",Casein as substrate,IC-50,1.70E-08,M
Dihydroergotamine,,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,EC-50,2.00E-08,M
Glybenclamide,K(ATP) Channel Blockers;TRPA1 Agonists;K(ir) 6.2/SUR1 Blockers,"K(ATP) Channel (nonspecified subtype) blockade, IN VITRO",Whole-cell voltage-clamp assay (0 mV),IC-50,2.00E-08,M
Rupintrivir,HRV 3C Protease Inhibitors,"Infection, rhinovirus remission/reduction, IN VITRO",Viral replication assay,IC-50,2.00E-08,M
Anandamide,TRPV1 (Vanilloid VR1 Receptor) Agonists;Signal Transduction Modulators;K(V) 4.3 Channel Blockers;Apoptosis Inducers;Cannabinoid CB1 Receptor Agonists,"Prostanoid TP Receptor (Thromboxane A2 receptor; TXA2-R) (nonspecified subtype) antagonism, IN VITRO",,IC-50,2.23E-08,M
G-Strophanthin,Na+/K+-ATPase Inhibitors,"Inflammatory disorders remission/reduction, IN VITRO",ELISA assay,IC-50,2.30E-08,M
Carmofur,Thymidylate Synthase Inhibitors;Pyrimidine Antagonists,"Ceramidase (nonspecified) inhibition, IN VITRO",,IC-50,2.90E-08,M
Aclarubicin,DNA Topoisomerase II Inhibitors,"Prostaglandin F2-alpha Receptor (PGF2-alpha Receptor) antagonism, IN VITRO",,IC-50,3.00E-08,M
C-90,Adenylate Cyclase Type 5 (ADCY5) Inhibitors,"Adenylate Cyclase (nonspecified subtype) inhibition, IN VITRO",cAMP accumulation assay,IC-50,3.00E-08,M
JMF-1507,3C-Like Protease (SARS-CoV) Inhibitors,"3C-Like Protease (viral) inhibition, IN VITRO",Fluorescent assay,Ki,3.00E-08,M
U-46619,,Not Applicable,,EC-50,3.00E-08,M
Pristimerine,3C-Like Protease (SARS-CoV) Inhibitors;Apoptosis Inducers;Microtubule Destabilizers (Tubulin Polymerization Inhibitors);Antimitotic Drugs,"Inflammatory disorders remission/reduction, IN VITRO",ELISA assay,MIC,3.13E-08,M
DFU,Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitors;Signal Transduction Modulators,"Cyclooxygenase-2 (COX-2) inhibition, IN VITRO",,IC-50,4.00E-08,M
Emetine,Platelet-Derived Growth Factor (PDGF) Inhibitors;Signal Transduction Modulators;Angiogenesis Inhibitors,"Leukemia, acute monocytic (M5b) remission/reduction, IN VITRO",Flow cytometry assay,CC-50,4.00E-08,M
GC-373,3C-Like Protease (Norovirus) Inhibitors,"Infection, viral remission/reduction, IN VITRO",Cytopathicity assay,IC-50,4.00E-08,M
Isoprenaline hydrochloride,Signal Transduction Modulators;beta-Adrenoceptor Agonists,"Prostaglandin F2-alpha Receptor (PGF2-alpha Receptor) antagonism, IN VITRO",,IC-50,4.20E-08,M
RPR-101511A,Signal Transduction Modulators;Tyrosine Kinase Inhibitors,"Platelet-Activating Factor Receptor (PAF-R) antagonism, IN VITRO",Boyden chamber assay,IC-50,4.92E-08,M
GC-376,3C-Like Protease (Norovirus) Inhibitors,"Infection, viral remission/reduction, IN VITRO",Fluorescence resonance energy transfer (FRET) assay,IC-50,5.00E-08,M
Simvastatin,Thioredoxin Reductase 1 (TXNRD1; TR1) Inhibitors;HDL-Cholesterol Increasing Agents;3-Hydroxy-3-Methylglutaryl-Coenzyme A Reductase (HMGCR) Inhibitors;Liver Carboxylesterase 1 (CES1; PMPMEase) Inhibitors,"Fibulin 2 induction, IN VITRO",RNA assay,MEC,5.00E-08,M
Pyrazofurin,Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,"Nephrotoxicity induction, IN VITRO",Cell viability assay,CC-50,5.20E-08,g/l
TG-0205221,3C-Like Protease (SARS-CoV) Inhibitors,"3C-Like Protease (viral) inhibition, IN VITRO",,Ki,5.30E-08,M
(+)-JQ-1,"Bromodomain-Containing Protein 4 (Brd4, HUNK1) Inhibitors;Bromodomain-Containing Protein 2 (Brd2) Inhibitors;HIV Latency-Reversing Agents;Apoptosis Inducers;Drugs Targeting Bromodomain and Extra-Terminal (BET) Proteins;Bromodomain-Containing Protein 3 (Brd3, RING3-Like protein) Inhibitors;Epigenetic Modifier Modulators","Bromodomain-Containing Protein 4 (Brd4) affinity, IN VITRO",Chemiluminescent assay,IC-50,5.40E-08,M
SB-505124,Signal Transduction Modulators;Activin Receptor Like Kinase 4 (ALK4; ActR-IB) Inhibitors;Activin Receptor Like Kinase 7 (ALK7) Inhibitors;TGF-beta Receptor Type-1 (TGFBR1; ALK5; SKR4; TbetaR-I) Inhibitors,"TGF-beta Receptor type-1 (TGFR-1; ALK5) inhibition, IN VITRO",Casein as substrate,IC-50,5.40E-08,M
TKI-963,Signal Transduction Modulators;PDGFR Family Inhibitors;Angiogenesis Inhibitors,"Platelet-Derived Growth Factor Receptor beta (PDGFR-beta) inhibition, IN VITRO",Cell-free assay,Ki,5.60E-08,M
CVT-3033,Signal Transduction Modulators;Adenosine A2A Receptor Agonists,"Hypertension remission/reduction, IN VITRO",,EC-50,6.79E-08,M
Levcromakalim,K(ATP) Channel Activators,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,IC-50,6.90E-08,M
5-Hydroxytriptamine,Signal Transduction Modulators;5-HT2C Receptor Ligands,Not Applicable,,EC-50,7.33E-08,M
Insulin glargine,Signal Transduction Modulators;Insulin Receptor Agonists,"Insulin Receptor affinity, IN VITRO",Displacement of [125I]-insulin-like growth factor-I,IC-50,7.50E-08,M
Amesergide,5-HT2A Receptor Antagonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 7 (5-HT7) affinity, IN VITRO",Displacement of [3H]-serotonin,Ki,7.80E-08,M
Apicidin,Histone Deacetylase (HDAC) Inhibitors;Epigenetic Modifier Modulators,"Leukemia, B-cell acute lymphocytic remission/reduction, IN VITRO",Dye assay (alamar blue),IC-50,8.00E-08,M
Pravastatin sodium,3-Hydroxy-3-Methylglutaryl-Coenzyme A Reductase (HMGCR) Inhibitors,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,IC-50,8.10E-08,M
CDP,,"P2Y Purinoceptor 2 (P2Y2) agonism, IN VITRO",Fluorescent assay,EC-50,8.71E-08,M
Avitriptan,5-HT1D Receptor Agonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,EC-50,8.90E-08,M
"6',6'-Difluoroaristeromycin",S-Adenosyl-L-Homocysteine Hydrolase Inhibitors,"Severe acute respiratory syndrome (SARS-CoV) remission/reduction, IN VITRO",Plaque assay,MIC,1.00E-07,M
Azithromycin,Nonsense Mutation Suppressors;50S Ribosomal Protein Inhibitors,"Middle East respiratory syndrome coronavirus (MERS-CoV) remission/reduction, IN VITRO",Luciferine/luciferase assay,IC-50,1.00E-07,M
beta-Thujaplicinol,Protein P (Ribonuclease H; RNHase) (Hepatitis B Virus) Inhibitors;2''-Aminoglycoside Nucleotidyltransferase (Escherichia coli) Inhibitors;HIV Integrase Inhibitors;Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors;Reverse Transcriptase/Ribonuclease H (Viral) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Fluorescent assay,IC-50,1.00E-07,M
Human angiotensin II,Signal Transduction Modulators;Type-1 Angiotensin II Receptor (AGTR1; AT1) Ligands;Type-2 Angiotensin II Receptor (AGTR2; AT2) Ligands,"Acute coronary syndrome induction, IN VIVO",,MED,1.00E-07,g/kg/min
IIS,Viral Fusion Inhibitors,"Middle East respiratory syndrome coronavirus (MERS-CoV) remission/reduction, IN VITRO",HEK293 human embryonic kidney cells transfected with MERS/enhanced green fluorescent protein,IC-50,1.00E-07,M
Isobavachalcone,Inducible Nitric Oxide Synthase (NOS-2) Inhibitors;Steroid 5alpha-Reductase Inhibitors;Drugs Targeting Beta-Amyloid;Signal Transduction Modulators;Autophagy Inducers;Papain-Like Protease (PLpro) (SARS-CoV) Inhibitors;Antioxidants,"Tumor Necrosis Factor (TNF-alpha) inhibition, IN VITRO",Chemiluminescent assay,MIC,1.00E-07,M
Luteolin,MAO-A Inhibitors;Lysosomal alpha-Glucosidase (GAA) Inhibitors;Antiinflammatory Drugs;Xanthine Oxidase Inhibitors;Antioxidants;Apoptosis Inducers;Aldo-Keto Reductase Family 1 Member B10 (AKR1B10) Inhibitors;Aldose Reductase Inhibitors;Nitric Oxide (NO) Production Inhibitors,"Fibrillation, ventricular remission/reduction, IN VIVO",Artery (coronary) ligation,MED,1.00E-07,g/kg
Mesulergine hydrochloride,Dopamine Receptor Agonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,IC-50,1.00E-07,M
Niclosamide,Cytochrome P450 CYP1A2 Inhibitors;Quorum Sensing (Pseudomonas aeruginosa) Inhibitors;Neuropeptide Y4 (NPY Y4) Receptor Positive Allosteric Modulators;Autophagy Inducers;Wnt Signaling Inhibitors,"Severe acute respiratory syndrome (SARS-CoV) remission/reduction, IN VITRO",Cytopathicity assay,IC-50,1.00E-07,M
Nocodazole,Microtubule Destabilizers (Tubulin Polymerization Inhibitors);Antimitotic Drugs,"Cancer, lung (non-small cell) (NSCLC) remission/reduction, IN VITRO",Dye assay (sulforhodamine B),CC-50,1.00E-07,M
