Drug name,Drug ID,Number of virus speices,Virus species list,Discovered MOA
Tenofovir,[DB14126](https://www.drugbank.ca/drugs/DB14126),15,FLUAV;HCV;HBV;HSV;ADV;DENV;Parainfluenza virus;RSV;Rhinovirus;CMV;VZV;Xenotropic murine leukemia virus-related virus;HIV-2;HIV-1;HSV-2,Nucleotide reverse transcriptase inhibitor
Nitazoxanide,[DB00507](https://www.drugbank.ca/drugs/DB00507),13,FLUAV;FLUBV;HBV;HCV;DENV;RSV;ADV;NoV;RuV;HIV-1;JEV;MERS-CoV;ZIKV,
Mycophenolic acid,[DB01024](https://www.drugbank.ca/drugs/DB01024),13,Avian flu;HCV;FLUBV;Filovirus;FLUAV;MERS-CoV;CoV;WNV ;DENV;ZIKV;RSV;Parainfluenza virus;BKV,Dehydrogenase
Brincidofovir,[DB12151](https://www.drugbank.ca/drugs/DB12151),13,EBOV;CMV;HSV;VZV;BKV;ADV;JC polyomavirus;EBV;HTLV-1;HPV;HSV-1;VACV;HSV-6,DNA polymerase Inhibitor
Ribavirin,[DB00811](https://www.drugbank.ca/drugs/DB00811),11,Avian flu;FLUBV;HCV;FLU;FLUAV;RSV;EV;Parainfluenza virus;HSV;HEV;LASV,Inosine monophosphate dehydrogenase inhibitor; RNA-dependent RNA polymerase inhibitor
,[CID:5480370](https://pubchem.ncbi.nlm.nih.gov/compound/5480370),11,FLUAV;HCV;HBV;HSV;Parainfluenza virus;ADV;DENV;RSV;Rhinovirus;CMV;VZV,
Remdesivir,[DB14761](https://www.drugbank.ca/drugs/DB14761),10,MERS-CoV;Filovirus;EBOV;CoV;SARS-CoV;MARV;HCV;RSV;ZIKV;2019nCoV,
Tilorone,[DB09070](https://www.drugbank.ca/drugs/DB09070),10,CHIKV;CMV;EBOV;HAV;HBV;HCV;HSV-1;MARV;MERS-CoV;WNV ,
Cidofovir,[DB00369](https://www.drugbank.ca/drugs/DB00369),10,CMV;HSV;EBV;VZV;JC polyomavirus;ADV;BKV;HSV-1;HSV-2;HPV,DNA polymerase Inhibitor
,[CID:71761402](https://pubchem.ncbi.nlm.nih.gov/compound/71761402),10,Filovirus;SARS-CoV;FLUAV;FLUBV;Parainfluenza virus;DENV;ADV;Rhinovirus;RSV;WNV ,